,Name.x,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Name.y,City,State,abbr,Beerclass,Beerclass_Colour
864,Onyx Black Ale,2151,0.052,9,132,American Black Ale,12,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
865,Point Nude Beach Summer Wheat,1225,0.052,7,132,American Pale Wheat Ale,16,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
866,Point Nude Beach Summer Wheat,816,0.05,7,132,American Pale Wheat Ale,12,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
867,Point Nude Beach Summer Wheat (2011),772,0.05,7,132,American Pale Wheat Ale,12,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
868,2012 Black Ale,357,0.054,32,132,American Brown Ale,12,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
869,Point Nude Beach Summer Wheat (2010),141,0.05,7,132,American Pale Wheat Ale,12,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
870,Point Cascade Pale Ale,140,0.054,33,132,American Pale Ale (APA),12,Stevens Point Brewery,Stevens Point, WI,WI,ALE,red
871,Wisco Disco,953,0.051,31,487,American Amber / Red Ale,16,Stillmank Beer Company,Green Bay, WI,WI,ALE,red
872,Extra Pale Ale,2352,0.053,49,139,American Pale Ale (APA),12,Summit Brewing Company,St Paul, MN,MN,ALE,red
873,Hopvale Organic Ale,2473,0.047,55,59,American Pale Ale (APA),16,Summit Brewing Company,St. Paul, MN,MN,ALE,red
874,Hop Up Offa That Brett (2014),2085,0.058,20,26,Belgian Pale Ale,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
875,PV Muckle (2013),2084,0.083,23,26,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
876,Bourbon Barrel Batch 666: Sympathy for the Devil,2083,0.099,36,26,Belgian Dark Ale,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
877,Whip Fight,2082,0.09,30,26,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
878,Port Barrel Wee Mac ,2081,0.053,23,26,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
879,Wee Muckle,1656,0.09,30,26,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
880,Osiris Pale Ale,1389,0.056,50,26,American Pale Ale (APA),16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
881,Bourbon Barrel Wee Mac,1127,0.054,23,26,Scottish Ale,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
882,Wee Muckle (2011),584,0.09,30,26,Scotch Ale / Wee Heavy,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
883,Wee Mac Scottish-Style Ale,213,0.054,23,26,Scottish Ale,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
884,Sunlight Cream Ale,55,0.053,20,26,Cream Ale,16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
885,Osiris Pale Ale (2010),54,0.056,50,26,American Pale Ale (APA),16,Sun King Brewing Company,Indianapolis, IN,IN,ALE,red
886,BLAKKR,1739,0.099,85,62,American Black Ale,16,Surly Brewing Company,Brooklyn Center, MN,MN,ALE,red
887,Coffee Bender,17,0.051,45,62,American Brown Ale,16,Surly Brewing Company,Brooklyn Center, MN,MN,ALE,red
888,Bender,16,0.051,45,62,American Brown Ale,16,Surly Brewing Company,Brooklyn Center, MN,MN,ALE,red
889,CynicAle,13,0.067,33,62,Saison / Farmhouse Ale,16,Surly Brewing Company,Brooklyn Center, MN,MN,ALE,red
890,Stump Knocker Pale Ale,1240,0.056,35,448,American Pale Ale (APA),12,Swamp Head Brewery,Gainesville, FL,FL,ALE,red
891,Wild Night,1238,0.059,18,448,Cream Ale,12,Swamp Head Brewery,Gainesville, FL,FL,ALE,red
892,Blacktop Blonde,622,0.05,19,450,American Blonde Ale,24,TailGate Beer,San Diego, CA,CA,ALE,red
893,Blacktop Blonde,362,0.05,19,450,American Blonde Ale,12,TailGate Beer,San Diego, CA,CA,ALE,red
894,Ginger Peach Saison,2555,0.048,20,46,Saison / Farmhouse Ale,16,Tallgrass Brewing Company,Manhattan, KS,KS,ALE,red
895,Wild Plum Farmhouse Ale,1196,0.056,20,46,Saison / Farmhouse Ale,16,Tallgrass Brewing Company,Manhattan, KS,KS,ALE,red
896,Tallgrass Pub Ale,1009,0.044,12,46,American Brown Ale,16,Tallgrass Brewing Company,Manhattan, KS,KS,ALE,red
897,Halcyon Unfiltered Wheat,676,0.05,20,46,American Pale Wheat Ale,16,Tallgrass Brewing Company,Manhattan, KS,KS,ALE,red
898,Halcyon Unfiltered Wheat,412,0.05,20,46,American Pale Wheat Ale,12,Tallgrass Brewing Company,Manhattan, KS,KS,ALE,red
899,Tallgrass Ale,103,0.044,22,46,American Brown Ale,16,Tallgrass Brewing Company,Manhattan, KS,KS,ALE,red
900,RecreationAle,1082,0.047,42,470,American Pale Ale (APA),12,Terrapin Brewing Company,Athens, GA,GA,ALE,red
901,First Stand,2119,0.055,35,216,Saison / Farmhouse Ale,12,Texian Brewing Co.,Richmond, TX,TX,ALE,red
902,Battle LIne,2118,0.063,23,216,American Brown Ale,12,Texian Brewing Co.,Richmond, TX,TX,ALE,red
903,Brutus,2116,0.071,69,216,English India Pale Ale (IPA),12,Texian Brewing Co.,Richmond, TX,TX,ALE,red
904,Bomber Mountain Amber Ale (2013),1200,0.046,20,458,American Amber / Red Ale,12,The Black Tooth Brewing Company,Sheridan, WY,WY,ALE,red
905,Saddle Bronc Brown Ale (2013),1198,0.048,16,458,English Brown Ale,12,The Black Tooth Brewing Company,Sheridan, WY,WY,ALE,red
906,Wagon Box Wheat Beer,1197,0.059,15,458,American Pale Wheat Ale,12,The Black Tooth Brewing Company,Sheridan, WY,WY,ALE,red
907,Bronx Summer Pale Ale,1748,0.052,16,330,American Pale Ale (APA),16,The Bronx Brewery,Bronx, NY,NY,ALE,red
908,Bronx Black Pale Ale,1747,0.057,46,330,American Black Ale,16,The Bronx Brewery,Bronx, NY,NY,ALE,red
909,Bronx Pale Ale,1037,0.063,50,330,American Pale Ale (APA),16,The Bronx Brewery,Bronx, NY,NY,ALE,red
910,Surfrider,2594,0.052,35,34,American Pale Ale (APA),16,The Dudes' Brewing Company,Torrance, CA,CA,ALE,red
911,Grandma's Pecan,1562,0.069,34,34,English Brown Ale,16,The Dudes' Brewing Company,Torrance, CA,CA,ALE,red
912,Hunny Do Wheat,2347,0.048,18,143,American Pale Wheat Ale,12,Third Street Brewhouse,Cold Spring, MN,MN,ALE,red
913,Knotty Blonde Ale,2319,0.04,18,154,American Blonde Ale,12,Three Creeks Brewing,Sisters, OR,OR,ALE,red
914,Hydraulion Red,1913,0.053,22,274,Irish Red Ale,12,Three Notch'd Brewing Company,Charlottesville, VA,VA,ALE,red
915,Citra Faced,2617,0.055,64,22,American Pale Wheat Ale,16,Three Pints Brewing,Martinsville, IN,IN,ALE,red
916,Pale,2615,0.054,37,22,American Pale Ale (APA),16,Three Pints Brewing,Martinsville, IN,IN,ALE,red
917,Rivet Irish Red Ale,950,0.051,22,18,Irish Red Ale,16,Tin Man Brewing Company,Evansville, IN,IN,ALE,red
918,Tin Roof Blonde Ale,529,0.045,18,153,American Blonde Ale,12,Tin Roof Brewing Company,Baton Rouge, LA,LA,ALE,red
919,Voodoo Bengal Pale Ale,495,0.055,37,153,American Pale Ale (APA),12,Tin Roof Brewing Company,Baton Rouge, LA,LA,ALE,red
920,Perfect Tin Amber,494,0.045,28,153,American Amber / Red Ale,12,Tin Roof Brewing Company,Baton Rouge, LA,LA,ALE,red
921,Farmer's Tan Red Ale,1936,0.06,30,266,American Amber / Red Ale,12,Tractor Brewing Company,Albuquerque, NM,NM,ALE,red
922,Nugget Nectar,2444,0.075,93,98,American Amber / Red Ale,16,Tröegs Brewing Company,Hershey, PA,PA,ALE,red
923,Greenville Pale Ale,433,0.055,52,540,American Pale Ale (APA),12,Twin Lakes Brewing Company,Greenville, DE,DE,ALE,red
924,Immersion Amber,1660,0.052,27,191,American Amber / Red Ale,12,Two Beers Brewing Company,Seattle, WA,WA,ALE,red
925,Persnickety Pale,560,0.057,36,191,American Pale Ale (APA),12,Two Beers Brewing Company,Seattle, WA,WA,ALE,red
926,SoDo Brown Ale,519,0.054,20,191,American Brown Ale,12,Two Beers Brewing Company,Seattle, WA,WA,ALE,red
927,Immersion Amber Ale (2011),518,0.052,27,191,American Amber / Red Ale,12,Two Beers Brewing Company,Seattle, WA,WA,ALE,red
928,Night Cat,2246,0.058,43,75,American Dark Wheat Ale,12,Two Brothers Brewing Company,Warrenville, IL,IL,ALE,red
929,Night Cat (2014),1630,0.058,43,75,American Dark Wheat Ale,12,Two Brothers Brewing Company,Warrenville, IL,IL,ALE,red
930,Sidekick Extra Pale Ale,1121,0.051,36,75,American Pale Ale (APA),12,Two Brothers Brewing Company,Warrenville, IL,IL,ALE,red
931,Cane and Ebel,861,0.07,68,75,American Strong Ale,12,Two Brothers Brewing Company,Warrenville, IL,IL,ALE,red
932,PUNK'N,2310,0.05,10,160,Pumpkin Ale,12,Uinta Brewing Company,Salt Lake City, UT,UT,ALE,red
933,SUM'R,1212,0.04,17,160,American Blonde Ale,12,Uinta Brewing Company,Salt Lake City, UT,UT,ALE,red
934,Cutthroat Pale Ale,1088,0.04,34,160,American Pale Ale (APA),12,Uinta Brewing Company,Salt Lake City, UT,UT,ALE,red
935,WYLD Extra Pale Ale,974,0.04,29,160,American Pale Ale (APA),12,Uinta Brewing Company,Salt Lake City, UT,UT,ALE,red
936,Lee Hill Series Vol. 2 - Wild Saison,2563,0.068,24,52,American Wild Ale,19.2,Upslope Brewing Company,Boulder, CO,CO,ALE,red
937,Ferus Fluxus Wild Belgian Pale Ale,1853,0.075,30,52,American Wild Ale,19.2,Upslope Brewing Company,Boulder, CO,CO,ALE,red
938,Upslope Belgian Style Pale Ale,683,0.075,30,52,Belgian Pale Ale,12,Upslope Brewing Company,Boulder, CO,CO,ALE,red
939,Common Sense Kentucky Common Ale,382,0.053,22,547,American Brown Ale,16,Upstate Brewing Company,Elmira, NY,NY,ALE,red
940,Wynona's Big Brown Ale,1730,0.075,31,323,American Brown Ale,12,Voodoo Brewery,Meadville, PA,PA,ALE,red
941,Gran Met,1729,0.092,25,323,Belgian Strong Pale Ale,12,Voodoo Brewery,Meadville, PA,PA,ALE,red
942,Country Pale Ale,1030,0.051,17,296,English Pale Ale,12,Wachusett Brewing Company,Westminster, MA,MA,ALE,red
943,Pumpkan,908,0.052,20,296,Pumpkin Ale,12,Wachusett Brewing Company,Westminster, MA,MA,ALE,red
944,Ermal's,2223,0.054,20,95,Cream Ale,16,Warped Wing Brewing Company,Dayton, OH,OH,ALE,red
945,Phat Chance,971,0.052,27,362,American Blonde Ale,12,Wild Onion Brewing Company,Lake Barrington, IL,IL,ALE,red
946,Paddy Pale Ale,162,0.056,41,362,American Pale Ale (APA),12,Wild Onion Brewing Company,Lake Barrington, IL,IL,ALE,red
947,Blonde Hunny,2253,0.068,21,182,Belgian Pale Ale,12,Wild Wolf Brewing Company,Nellysford, VA,VA,ALE,red
948,Wild Wolf Wee Heavy Scottish Style Ale,1318,0.057,20,182,Scotch Ale / Wee Heavy,12,Wild Wolf Brewing Company,Nellysford, VA,VA,ALE,red
949,Alpha Ale,1194,0.051,45,182,American Pale Ale (APA),12,Wild Wolf Brewing Company,Nellysford, VA,VA,ALE,red
950,Worthy Pale,1511,0.06,50,200,American Pale Ale (APA),12,Worthy Brewing Company,Bend, OR,OR,ALE,red
951,Silverback Pale Ale,145,0.055,40,425,American Pale Ale (APA),12,Wynkoop Brewing Company,Denver, CO,CO,ALE,red
952,35 K,2684,0.077,25,2,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY,KY,Dark,blue
953,Maylani's Coconut Stout,1594,0.053,35,368,American Stout,16,Airways Brewing Company,Kent, WA,WA,Dark,blue
954,Barney Flats Oatmeal Stout,1520,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA,CA,Dark,blue
955,Barney Flats Oatmeal Stout,1221,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA,CA,Dark,blue
956,Barney Flats Oatmeal Stout (2012),572,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA,CA,Dark,blue
957,Porter (a/k/a Black Gold Porter),2509,0.06,23,70,American Porter,16,Appalachian Mountain Brewery,Boone, NC,NC,Dark,blue
958,Quakertown Stout,1333,0.092,50,427,American Double / Imperial Stout,12,Armadillo Ale Works,Denton, TX,TX,Dark,blue
959,Ninja Porter,429,0.053,26,529,American Porter,12,Asheville Brewing Company,Asheville, NC,NC,Dark,blue
960,Trolley Stop Stout,1580,0.057,40,375,American Stout,12,Astoria Brewing Company,Astoria, OR,OR,Dark,blue
961,Poop Deck Porter,979,0.062,35,375,American Porter,12,Astoria Brewing Company,Astoria, OR,OR,Dark,blue
962,Vanilla Java Porter,2502,0.055,12,73,American Porter,16,Atwater Brewery,Detroit, MI,MI,Dark,blue
963,Dark Star,2639,0.08,54,9,American Stout,16,Big Lake Brewing,Holland, MI,MI,Dark,blue
964,Morning Wood,986,0.055,35,445,Oatmeal Stout,16,Big Wood Brewery,Vadnais Heights, MN,MN,Dark,blue
965,American Red Porter,1849,0.071,45,295,American Porter,12,Black Shirt Brewing Company,Denver, CO,CO,Dark,blue
966,North Third Stout,2153,0.06,30,13,Foreign / Export Stout,12,Blackrocks Brewery,Marquette, MI,MI,Dark,blue
967,Lucky Buck,1890,0.04,34,282,Irish Dry Stout,16,Bolero Snort Brewery,Ridgefield Park, NJ,NJ,Dark,blue
968,Noche Dulce,2062,0.071,16,232,American Porter,16,Borderlands Brewing Company,Tucson, AZ,AZ,Dark,blue
969,Plum St. Porter,2107,0.06,52,220,American Porter,12,Bozeman Brewing Company,Bozeman, MT,MT,Dark,blue
970,Plum St. Porter,1573,0.057,52,220,American Porter,12,Bozeman Brewing Company,Bozeman, MT,MT,Dark,blue
971,Black Me Stout,2056,0.06,45,237,American Stout,12,Champion Brewing Company,Charlottesville, VA,VA,Dark,blue
972,José Martí American Porter,1140,0.08,65,142,American Porter,12,Cigar City Brewing Company,Tampa, FL,FL,Dark,blue
973,Crabtree Oatmeal Stout,659,0.075,29,516,Oatmeal Stout,16,Crabtree Brewing Company,Greeley, CO,CO,Dark,blue
974,Chuli Stout,1213,0.059,55,454,Irish Dry Stout,12,Denali Brewing Company,Talkeetna, AK,AK,Dark,blue
975,Sudice American Stout,1455,0.07,58,406,American Stout,16,Fate Brewing Company,Boulder, CO,CO,Dark,blue
976,Hodad Porter,1858,0.055,30,173,American Porter,16,Fiddlehead Brewing Company,Shelburne, VT,VT,Dark,blue
977,Block Party Robust Porter,1873,0.057,40,288,American Porter,12,Four Corners Brewing Company,Dallas, TX,TX,Dark,blue
978,Vanilla Porter,2587,0.07,11,40,American Porter,16,Gonzo's BiggDogg Brewing,Kalamazoo, MI,MI,Dark,blue
979,Coffee Oatmeal Stout,311,0.06,54,479,Oatmeal Stout,12,Good People Brewing Company,Birmingham, AL,AL,Dark,blue
980,Bourbon Barrel Aged Coconut Porter,1702,0.056,33,166,American Porter,16,Great Crescent Brewery,Aurora, IN,IN,Dark,blue
981,Great Crescent Coconut Porter,1269,0.056,33,166,American Porter,16,Great Crescent Brewery,Aurora, IN,IN,Dark,blue
982,Bourbon's Barrel Stout,455,0.075,65,166,American Stout,16,Great Crescent Brewery,Aurora, IN,IN,Dark,blue
983,Great Crescent Stout,442,0.08,66,166,English Stout,16,Great Crescent Brewery,Aurora, IN,IN,Dark,blue
984,Great Crescent Coconut Porter (2012),441,0.056,33,166,American Porter,16,Great Crescent Brewery,Aurora, IN,IN,Dark,blue
985,Yeti  Imperial Stout,2644,0.095,75,7,Russian Imperial Stout,12,Great Divide Brewing Company,Denver, CO,CO,Dark,blue
986,Redband Stout,371,0.06,36,366,American Stout,16,Great River Brewery,Davenport, IA,IA,Dark,blue
987,Leaning Chimney Smoked Porter,984,0.06,34,380,American Porter,16,Grey Sail Brewing of Rhode Island,Westerly, RI,RI,Dark,blue
988,Ex Umbris Rye Imperial Stout,904,0.099,85,424,American Double / Imperial Stout,16,Hess Brewing Company,San Diego, CA,CA,Dark,blue
989,Survival Stout,2200,0.058,35,81,American Stout,16,Hopworks Urban Brewery,Portland, OR,OR,Dark,blue
990,Adam's Stout,1832,0.058,40,299,American Stout,12,Liquid Hero Brewery,York, PA,PA,Dark,blue
991,Slow Hand Stout,1571,0.052,29,378,American Stout,16,Lucette Brewing Company,Menominee, WI,WI,Dark,blue
992,Pretzel Stout,2268,0.065,47,162,American Stout,16,Martin House Brewing Company,Fort Worth, TX,TX,Dark,blue
993,CoCoNut Porter,32,0.057,30,376,American Porter,12,Maui Brewing Company,Lahaina, HI,HI,Dark,blue
994,Pit Stop Chocolate Porter,1237,0.037,34,449,American Porter,12,Mavericks Beer Company,Half Moon Bay, CA,CA,Dark,blue
995,Hawaiian Crow Porter,2178,0.052,27,204,American Porter,12,Mehana Brewing Co.,Hilo, HI,HI,Dark,blue
996,Black House,1493,0.058,40,210,American Stout,16,Modern Times Beer,San Diego, CA,CA,Dark,blue
997,Autocrat Coffee Milk Stout,1775,0.053,30,144,Milk / Sweet Stout,16,Narragansett Brewing Company,Providence, RI,RI,Dark,blue
998,Narragansett Porter,316,0.07,22,144,American Porter,16,Narragansett Brewing Company,Providence, RI,RI,Dark,blue
999,Maggie's Leap,2691,0.049,26,1,Milk / Sweet Stout,16,NorthGate Brewing ,Minneapolis, MN,MN,Dark,blue
1000,Stronghold,2688,0.06,25,1,American Porter,16,NorthGate Brewing ,Minneapolis, MN,MN,Dark,blue
1001,Overcast Espresso Stout,1668,0.058,27,151,American Stout,12,Oakshire Brewing,Eugene, OR,OR,Dark,blue
1002,Lake Monster,2247,0.082,25,185,Baltic Porter,16,Oasis Texas Brewing Company,Austin, TX,TX,Dark,blue
1003,Psycho Penguin Vanilla Porter,2333,0.054,36,149,American Porter,12,Odyssey Beerwerks,Arvada, CO,CO,Dark,blue
1004,Winter Games Select #32 Stout,601,0.057,26,472,American Stout,16,Okoboji Brewing Company,Spirit Lake, IA,IA,Dark,blue
1005,Ten Fidy Imperial Stout,8,0.099,98,167,Russian Imperial Stout,12,Oskar Blues Brewery,Longmont, CO,CO,Dark,blue
1006,Ten Fidy Imperial Stout (2008),804,0.095,98,504,Russian Imperial Stout,12,Oskar Blues Brewery,Lyons, CO,CO,Dark,blue
1007,Ten Fidy Imperial Stout (2007),803,0.099,98,504,Russian Imperial Stout,12,Oskar Blues Brewery,Lyons, CO,CO,Dark,blue
1008,Ten Fidy,1532,0.099,98,390,Russian Imperial Stout,12,Oskar Blues Brewery (North Carol...,Brevard, NC,NC,Dark,blue
1009,Cache La Porter,694,0.05,24,442,American Porter,16,Pateros Creek Brewing Company,Fort Collins, CO,CO,Dark,blue
1010,Old Tom Porter,847,0.055,25,315,American Porter,16,Piney River Brewing Company,Bucryus, MO,MO,Dark,blue
1011,Smoking Mirror,2030,0.055,30,247,American Porter,12,Quest Brewing Company,Greenville, SC,SC,Dark,blue
1012,Vanilla Porter,2513,0.047,25,69,American Porter,16,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,MD,Dark,blue
1013,Hammer & Sickle,1581,0.09,60,111,Russian Imperial Stout,12,Renegade Brewing Company,Denver, CO,CO,Dark,blue
1014,Eugene Porter,416,0.068,28,45,American Porter,12,Revolution Brewing Company,Chicago, IL,IL,Dark,blue
1015,Panther,1993,0.058,35,94,American Porter,12,Rhinegeist Brewery,Cincinnati, OH,OH,Dark,blue
1016,Sex Panther,2599,0.069,20,31,American Porter,12,SanTan Brewing Company,Chandler, AZ,AZ,Dark,blue
1017,Sex Panther (2014),852,0.069,20,31,American Porter,12,SanTan Brewing Company,Chandler, AZ,AZ,Dark,blue
1018,Becky's Black Cat Porter,917,0.07,55,495,American Porter,16,Seven Brides Brewery,Silverton, OR,OR,Dark,blue
1019,4Beans,2574,0.1,52,47,Baltic Porter,12,Sixpoint Craft Ales,Brooklyn, NY,NY,Dark,blue
1020,3Beans,1020,0.099,85,47,Baltic Porter,12,Sixpoint Craft Ales,Brooklyn, NY,NY,Dark,blue
1021,Diesel,525,0.063,69,47,American Stout,16,Sixpoint Craft Ales,Brooklyn, NY,NY,Dark,blue
1022,Estival Cream Stout,1297,0.058,15,265,American Stout,12,Ska Brewing Company,Durango, CO,CO,Dark,blue
1023,Zonker Stout,617,0.054,36,192,Foreign / Export Stout,12,Snake River Brewing Company,Jackson, WY,WY,Dark,blue
1024,Hipster Breakfast,1120,0.058,40,134,Oatmeal Stout,16,Southern Prohibition Brewing Com...,Hattiesburg, MS,MS,Dark,blue
1025,Buried Hatchet Stout,46,0.083,50,119,Foreign / Export Stout,12,Southern Star Brewing Company,Conroe, TX,TX,Dark,blue
1026,Lily Flagg Milk Stout,925,0.05,30,413,Milk / Sweet Stout,12,Straight to Ale,Huntsville, AL,AL,Dark,blue
1027,Cowbell,2164,0.054,23,26,American Porter,16,Sun King Brewing Company,Indianapolis, IN,IN,Dark,blue
1028,Bourbon Barrel Aged Timmie,1367,0.099,75,26,Russian Imperial Stout,16,Sun King Brewing Company,Indianapolis, IN,IN,Dark,blue
1029,Ring of Dingle,1128,0.071,27,26,Irish Dry Stout,16,Sun King Brewing Company,Indianapolis, IN,IN,Dark,blue
1030,Midnight Oil,1239,0.05,38,448,Oatmeal Stout,12,Swamp Head Brewery,Gainesville, FL,FL,Dark,blue
1031,Zombie Monkie,1736,0.062,35,46,American Porter,16,Tallgrass Brewing Company,Manhattan, KS,KS,Dark,blue
1032,Vanilla Bean Buffalo Sweat,1063,0.05,20,46,Oatmeal Stout,16,Tallgrass Brewing Company,Manhattan, KS,KS,Dark,blue
1033,Buffalo Sweat,765,0.05,20,46,Milk / Sweet Stout,16,Tallgrass Brewing Company,Manhattan, KS,KS,Dark,blue
1034,Buffalo Sweat (2010),102,0.05,20,46,Milk / Sweet Stout,16,Tallgrass Brewing Company,Manhattan, KS,KS,Dark,blue
1035,Peck's Porter,2640,0.065,35,8,American Porter,16,Tapistry Brewing,Bridgman, MI,MI,Dark,blue
1036,Fivepine Chocolate Porter,2317,0.062,40,154,American Porter,12,Three Creeks Brewing,Sisters, OR,OR,Dark,blue
1037,Pole Barn Stout,2616,0.055,31,22,Oatmeal Stout,16,Three Pints Brewing,Martinsville, IN,IN,Dark,blue
1038,Cafe Leche,2623,0.058,20,18,American Porter,16,Tin Man Brewing Company,Evansville, IN,IN,Dark,blue
1039,Csar,2621,0.12,90,18,Russian Imperial Stout,16,Tin Man Brewing Company,Evansville, IN,IN,Dark,blue
1040,3 Gear Robust Porter,949,0.052,50,18,American Porter,16,Tin Man Brewing Company,Evansville, IN,IN,Dark,blue
1041,Parade Ground Coffee Porter,1754,0.07,35,153,American Porter,12,Tin Roof Brewing Company,Baton Rouge, LA,LA,Dark,blue
1042,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,2562,0.099,51,52,American Double / Imperial Stout,19.2,Upslope Brewing Company,Boulder, CO,CO,Dark,blue
1043,Jack Stout,366,0.06,23,362,Oatmeal Stout,12,Wild Onion Brewing Company,Lake Barrington, IL,IL,Dark,blue
1044,P-51 Porter,761,0.08,31,510,American Porter,16,Wingman Brewers,Tacoma, WA,WA,Dark,blue
1,21st Amendment IPA (2006),799,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,CA,IPA,darkgreen
2,Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,CA,IPA,darkgreen
3,Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,CA,IPA,darkgreen
4,Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA,CA,IPA,darkgreen
5,Brew Free! or Die IPA,10,0.07,65,369,American IPA,12,21st Amendment Brewery,San Francisco, CA,CA,IPA,darkgreen
6,Bimini Twist,2519,0.07,82,68,American IPA,12,3 Daughters Brewing,St Petersburg, FL,FL,IPA,darkgreen
7,Citrafest,2602,0.05,45,28,American IPA,16,450 North Brewing Company,Columbus, IN,IN,IPA,darkgreen
8,Scarecrow,2219,0.069,65,28,American IPA,16,450 North Brewing Company,Columbus, IN,IN,IPA,darkgreen
9,Rude Parrot IPA,972,0.059,75,482,American IPA,16,7 Seas Brewing Company,Gig Harbor, WA,WA,IPA,darkgreen
10,Ballz Deep Double IPA,47,0.084,82,482,American Double / Imperial IPA,16,7 Seas Brewing Company,Gig Harbor, WA,WA,IPA,darkgreen
11,Jockamo IPA,516,0.065,52,534,American IPA,12,Abita Brewing Company,Abita Springs, LA,LA,IPA,darkgreen
12,Citra Ass Down,2540,0.082,68,63,American IPA,16,Against The Grain Brewery,Louisville, KY,KY,IPA,darkgreen
13,Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY,KY,IPA,darkgreen
14,Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY,KY,IPA,darkgreen
15,Pile of Face,2675,0.06,65,2,American IPA,16,Against the Grain Brewery,Louisville, KY,KY,IPA,darkgreen
16,Yellow Wolf Imperial IPA,2401,0.082,103,118,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR,OR,IPA,darkgreen
17,Desolation IPA,837,0.062,43,402,American IPA,16,Amnesia Brewing Company,Washougal, WA,WA,IPA,darkgreen
18,Hop Ottin' IPA,1327,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA,CA,IPA,darkgreen
19,Hop Ottin' IPA (2011),367,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA,CA,IPA,darkgreen
20,Long Leaf,2511,0.071,75,70,American IPA,16,Appalachian Mountain Brewery,Boone, NC,NC,IPA,darkgreen
21,Green Bullet Organic India Pale Ale,1322,0.07,45,430,American IPA,16,Asher Brewing Company,Boulder, CO,CO,IPA,darkgreen
22,Shiva IPA,428,0.06,69,529,American IPA,12,Asheville Brewing Company,Asheville, NC,NC,IPA,darkgreen
23,Independence Pass Ale,596,0.07,67,524,American IPA,12,Aspen Brewing Company,Aspen, CO,CO,IPA,darkgreen
24,Bitter Bitch Imperial IPA,980,0.082,138,375,American Double / Imperial IPA,12,Astoria Brewing Company,Astoria, OR,OR,IPA,darkgreen
25,Hop A-Peel,2503,0.075,115,73,American Double / Imperial IPA,16,Atwater Brewery,Detroit, MI,MI,IPA,darkgreen
26,Grand Circus IPA,528,0.05,62,73,American IPA,12,Atwater Brewery,Detroit, MI,MI,IPA,darkgreen
27,Avery India Pale Ale,107,0.063,69,38,American IPA,12,Avery Brewing Company,Boulder, CO,CO,IPA,darkgreen
28,Topcutter India Pale Ale,966,0.068,70,484,American IPA,12,Bale Breaker Brewing Company,Yakima, WA,WA,IPA,darkgreen
29,Even Keel,2105,0.038,40,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA,CA,IPA,darkgreen
30,Big Eye India Pale Ale,1400,0.07,75,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA,CA,IPA,darkgreen
31,Sculpin IPA,1018,0.07,70,35,American IPA,12,Ballast Point Brewing Company,San Diego, CA,CA,IPA,darkgreen
32,Thai.p.a,2618,0.07,46,21,American IPA,16,Bare Hands Brewery,Granger, IN,IN,IPA,darkgreen
33,Barrio Blanco,2005,0.06,60,252,American IPA,12,Barrio Brewing Company,Tucson, AZ,AZ,IPA,darkgreen
